#,REQUEST ID,DATE,SUPPLIER,SUPPLIER EMAIL,SUPPLIER CONTACT NO,REQUEST TYPE,RESPONSE MEMBER,DESK NO.,STATUS
22,2018081600057,16/08/2018 12:05:20 PM,35715 - MUKUL COLLECTION,fiscaljeans@gmail.com,9711108855 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
23,2018081600056,16/08/2018 12:00:27 PM,34432 - SKYMOON APPAREL,skymoonapparel@gmail.com,9842222257 [ - ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
24,2018081600055,16/08/2018 11:59:23 AM,35964 - SAIFY TRADERS,info.saifytraders@gmail.com,9840012199 [  ], PURCHASE ORDER,3756 - SRI SANJAY DAS,703,CLOSED
25,2018081600054,16/08/2018 11:57:06 AM,29530 - K.P.N.SILKS,srikumaransilks14@gmail.com,9994006744 [ 9443517510 ], PURCHASE ORDER,,700,NOT ASSIGNED
26,2018081600050,16/08/2018 11:51:47 AM,33413 - SRI BRAHSPATHI HANDLOOMS,brahspathi@gmail.com,9600966604 [ 9600966605 ], PURCHASE ORDER,,700,NOT ASSIGNED
27,2018081600049,16/08/2018 11:49:32 AM,34224 - B.S.R.THEJDEEPAK,BANDI.TEJ@GMAIL.COM,9440986320 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
28,2018081600048,16/08/2018 11:45:44 AM,36041 - PREMIER COLLECTION,rajeshkhatod.rk60@gmail.com,9492430774 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
29,2018081600039,16/08/2018 11:35:12 AM,15458 - SPARK CREATION,spark@sancharnet.in,9826022922 [  ], PURCHASE ORDER,,705,NOT ASSIGNED
30,2018081600038,16/08/2018 11:29:53 AM,31086 - SIDDHI VINAYAK CREATIONS,limejuice2012@gmail.com,9826036926 [  ], PURCHASE ORDER,,705,NOT ASSIGNED
31,2018081600037,16/08/2018 11:19:29 AM,32555 - NIMA MERCHANDISING SERVICES,info@vashnima.com,9043228899 [ - ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
32,2018081600035,16/08/2018 11:06:23 AM,35886 - AADHIKA APPARELS,aadhikaapparels@gmail.com,9042233188 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
33,2018081600031,16/08/2018 10:56:16 AM,36022 - C.S.M.SILKS,moorthy18cse@gmail.com,8122340350 [ 9994038196 ], PURCHASE ORDER,,-,NOT ASSIGNED
34,2018081600030,16/08/2018 10:56:09 AM,35733 - SHREE NAGESHWAR CREATION ,samkit107@gmail.com,9427532042 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
35,2018081600029,16/08/2018 10:52:16 AM,36513 - C.M.SILKS,cm.silks@rediffmail.com,9488478592 [ 9484478592 ], PURCHASE ORDER,,-,NOT ASSIGNED
36,2018081600018,16/08/2018 10:51:03 AM,36022 - C.S.M.SILKS,moorthy18cse@gmail.com,8122340350 [ 9994038196 ], PURCHASE ORDER,,-,NOT ASSIGNED
37,2018081600017,16/08/2018 10:49:19 AM,36022 - C.S.M.SILKS,moorthy18cse@gmail.com,8122340350 [ 9994038196 ], PURCHASE ORDER,,-,NOT ASSIGNED
38,2018081600014,16/08/2018 10:45:35 AM,33554 - PACIFIC APPAREL,pacificapparel2014@gmail.com,9137009942 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
39,2018081600013,16/08/2018 10:36:15 AM,32655 - FLUKEE CLOTHING CO,rahuld2116@gmail.com,9920588585 [ - ], PURCHASE ORDER,1711 - JENIT RAJA V,-,CLOSED
40,2018081600012,16/08/2018 10:09:04 AM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
41,2018081600011,16/08/2018 10:05:59 AM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
42,2018081500206,15/08/2018 10:32:50 PM,23968 - SWEET GIRLS,sureshsoni659@gmail.com,9821619598 [ 9930022881 ], PURCHASE ORDER,,-,NOT ASSIGNED
43,2018081500205,15/08/2018 10:31:48 PM,23968 - SWEET GIRLS,sureshsoni659@gmail.com,9821619598 [ 9930022881 ], PURCHASE ORDER,,-,NOT ASSIGNED
44,2018081500204,15/08/2018 09:28:34 PM,13677 - S.C.GOVINDHARAJ,scgovindharaj@gmail.com,9486264554 [ - ], PURCHASE ORDER,,-,NOT ASSIGNED
45,2018081500203,15/08/2018 09:21:25 PM,36686 - JAGNATH SILK MILLS,narayanlalpurohit58@gmail.com,9377962904 [ 9724075878 ], PURCHASE ORDER,,-,NOT ASSIGNED
46,2018081500202,15/08/2018 08:58:16 PM,36819 - AK ENTERPRISES,aksmart86@gmail.com,7010186213 [ -9087102406 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
47,2018081500201,15/08/2018 08:54:17 PM,36819 - AK ENTERPRISES,aksmart86@gmail.com,7010186213 [ -9087102406 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
48,2018081500200,15/08/2018 08:49:34 PM,36819 - AK ENTERPRISES,aksmart86@gmail.com,7010186213 [ -9087102406 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
49,2018081500199,15/08/2018 08:43:23 PM,36342 - KAJAL CREATION,puneet.awtani@yahoo.co.in,9898569269 [ - ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
50,2018081500189,15/08/2018 08:18:41 PM,30917 - NEW INDIAN CREATION,newindiancreation659@gmail.com,9825985810 [ 9825985721 ], PURCHASE ORDER,1711 - JENIT RAJA V,-,CLOSED
51,2018081500178,15/08/2018 07:59:55 PM,30917 - NEW INDIAN CREATION,newindiancreation659@gmail.com,9825985810 [ 9825985721 ], PURCHASE ORDER,1711 - JENIT RAJA V,-,CLOSED
52,2018081500157,15/08/2018 07:24:11 PM,35987 - DANISH CREATION,danishcreation14@gmail.com,9821232626 [ 7738834676 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
53,2018081500156,15/08/2018 07:15:12 PM,35987 - DANISH CREATION,danishcreation14@gmail.com,9821232626 [ 7738834676 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
54,2018081500155,15/08/2018 07:14:48 PM,35987 - DANISH CREATION,danishcreation14@gmail.com,9821232626 [ 7738834676 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
55,2018081500154,15/08/2018 07:13:55 PM,25324 - CHINTA GANDHI BROS,chintasankaramurthy@gmail.com,9032481654 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
56,2018081500150,15/08/2018 06:19:56 PM,32309 - FUZION CLOTHING,fuzionclothing@gmail.com,7299044104 [ 9498051625 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
57,2018081500137,15/08/2018 06:11:19 PM,33617 - RUSHABH CREATION,rinkifashion@gmail.com,8097570056 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
58,2018081500132,15/08/2018 05:59:57 PM,31375 - KULANTHAI VELAVAN TEXTILES AND DESIGNING,kulanthaivelavantextiles@gmail.com,8220552266 [ -8220501055 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
59,2018081500131,15/08/2018 05:53:33 PM,30248 - K.JAHANGIR KIDS WEAR,saifuddin.olla@gmail.com,9051313221 [ 9836173749 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
60,2018081500130,15/08/2018 05:47:18 PM,35639 - S.SENTHILKUMAR TEX,senthilsubramanivss@gmail.com,9944154544 [ -7904056690 ], PURCHASE ORDER,3746 - MANIKANDAN N,-,CLOSED
61,2018081500129,15/08/2018 05:43:32 PM,24697 - DEE VEE CREATIONS,deeveecreations@gmail.com,9423155800 [ 9766646508 ], PURCHASE ORDER,13794 - NANDHAKUMAR S,-,CLOSED
62,2018081500120,15/08/2018 05:26:15 PM,30917 - NEW INDIAN CREATION,newindiancreation659@gmail.com,9825985810 [ 9825985721 ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
63,2018081500118,15/08/2018 05:20:53 PM,32705 - M.N.ADI NARAYANA,nanjunda123456@gmail.com,9490200596 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
64,2018081500115,15/08/2018 05:18:47 PM,26484 - ABIRAMI & CO,ravi.t.7007@gmail.com,9865797007 [ 9095407007 ], PURCHASE ORDER,1452 - RAMASAMY V,704,CLOSED
65,2018081500114,15/08/2018 05:14:20 PM,14902 - SRI GANESH TEX,sriganeshtex2010@gmail.com,9842742647 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
66,2018081500112,15/08/2018 05:03:01 PM,7876 - M.C.TEXTILES,mctextiles@rediffmail.com,9447214339 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
67,2018081500103,15/08/2018 04:36:46 PM,30234 - SRI MURUGAN TEX,rmuruggesaan@yahoo.in,9843277372 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
68,2018081500102,15/08/2018 04:33:50 PM,14024 - ARJANDAS BHOJRAJ SONS,ashishjadwani@gmail.com,9820368006 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
69,2018081500096,15/08/2018 04:23:39 PM,36316 - SAKTHI TEX,sakthitexkarur@gmail.com,8754743595 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
70,2018081500091,15/08/2018 03:50:56 PM,8207 - LAMOUR FASHIONS PVT LTD,lamourfashions@gmail.com,9324152349 [ - ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
71,2018081500080,15/08/2018 03:28:59 PM,35987 - DANISH CREATION,danishcreation14@gmail.com,9821232626 [ 7738834676 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
72,2018081500079,15/08/2018 03:24:38 PM,35208 - SRI KULAVILAKKU AMMAN TEX,apsjayakumaranp@gmail.com,9842585772 [ 8667454844 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
73,2018081500072,15/08/2018 03:03:22 PM,29961 - PRIYA SAREES,priyasarees2014@rediffmail.com,8184913754 [ 9963093091 ], PURCHASE ORDER,3746 - MANIKANDAN N,-,CLOSED
74,2018081500071,15/08/2018 02:44:18 PM,25324 - CHINTA GANDHI BROS,chintasankaramurthy@gmail.com,9032481654 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
75,2018081500070,15/08/2018 02:40:50 PM,35859 - G-IO ENTERPRISES,collarcuts.g10@gmail.com,919892596096 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
76,2018081500063,15/08/2018 01:39:30 PM,29577 - K.S.GARMENTS,sathya0257@gmail.com,9842619954 [ - ], PURCHASE ORDER,1711 - JENIT RAJA V,-,CLOSED
77,2018081500062,15/08/2018 01:39:27 PM,25473 - SRI RANGANATHA SILKS,sriranganathasilks@gmail.com,9994266992 [ - ], PURCHASE ORDER,2235 - CHANDRASEKAR P ,700,CLOSED
78,2018081500056,15/08/2018 01:20:23 PM,7876 - M.C.TEXTILES,mctextiles@rediffmail.com,9447214339 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
79,2018081500055,15/08/2018 01:17:33 PM,7876 - M.C.TEXTILES,mctextiles@rediffmail.com,9447214339 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
80,2018081500038,15/08/2018 12:28:06 PM,11850 - JYOTHI RADHAKRISHNA STORE,jyothiradhakrishnastore@gmail.com,9994391109 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
81,2018081500037,15/08/2018 12:25:20 PM,8207 - LAMOUR FASHIONS PVT LTD,lamourfashions@gmail.com,9324152349 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
82,2018081500036,15/08/2018 12:20:43 PM,28504 - K.V.P.TEX,sathish9495@gmail.com,9894358373 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
83,2018081500035,15/08/2018 12:18:32 PM,7263 - B.L.INTERNATIONAL,blimpex52@gmail.com,9444270175 [ 9444081485 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
84,2018081500034,15/08/2018 12:17:39 PM,31435 - SRI RAM VINAYAGA TEX,srvtvel@gmail.com,9443435130 [ 7339555882 ], PURCHASE ORDER,2235 - CHANDRASEKAR P ,700,CLOSED
85,2018081500033,15/08/2018 12:06:15 PM,26494 - PAARTH CLOTHING CO,tarun@bodydecor.co.in,9320016006 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
86,2018081500032,15/08/2018 11:56:15 AM,14024 - ARJANDAS BHOJRAJ SONS,ashishjadwani@gmail.com,9820368006 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
87,2018081500031,15/08/2018 11:47:11 AM,26505 - MAC WIN,macwin_kids@rediffmail.com,9820441955 [ 9769840339 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,,CLOSED
88,2018081500029,15/08/2018 11:30:56 AM,26505 - MAC WIN,macwin_kids@rediffmail.com,9820441955 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,CLOSED
89,2018081500028,15/08/2018 11:25:58 AM,36384 - KANYA ART,kanyaart@gmail.com,8602390445 [ 9754216465 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
90,2018081500027,15/08/2018 11:25:07 AM,34567 - PARI THREADS,tn.murli@gmail.com,7010395725 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,CLOSED
91,2018081500024,15/08/2018 11:01:33 AM,29242 - PONNULAKSHIMI TEXTILES,muthurajrp@gmail.com,9944444627 [ - ], PURCHASE ORDER,1184 - MOHANKUMAR R ,-,CLOSED
92,2018081500019,15/08/2018 10:18:28 AM,31772 - J.P.N SAREES,nivasdhanapal7@gmail.com,9942074887 [ 9578993634 ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
93,2018081500018,15/08/2018 10:03:31 AM,30323 - L.MOHANRAJ,mboopathikumar87@gmail.com,9659650635 [ 9445709291 ], PURCHASE ORDER,2235 - CHANDRASEKAR P ,-,CLOSED
94,2018081400219,14/08/2018 10:42:34 PM,11746 - THE MADRAS PALAYAKAT CO. PVT. LTD.,saaangumark@yahoo.com,8807236594 [ 9842490800 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
95,2018081400218,14/08/2018 09:19:39 PM,11850 - JYOTHI RADHAKRISHNA STORE,jyothiradhakrishnastore@gmail.com,9994391109 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
96,2018081400217,14/08/2018 08:57:04 PM,23978 - R.M.SIVAKUMAR,sivakumar.1971@rediffmail.com,9629420801 [ -9944048255 ], PURCHASE ORDER,4480 - THAMARAIKANNAN K,-,CLOSED
97,2018081400215,14/08/2018 08:22:40 PM,23978 - R.M.SIVAKUMAR,sivakumar.1971@rediffmail.com,9629420801 [ 9944048255 ], PURCHASE ORDER,3746 - MANIKANDAN N,-,CLOSED
98,2018081400209,14/08/2018 08:11:25 PM,28644 - RANGOLI CREATION,benito.rangoli@gmail.com,9833392032 [ 9082001397 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
99,2018081400208,14/08/2018 08:07:53 PM,30135 - ALI KING DRESSES,shahrukhlee.khan@gmail.com,9830151693 [ 9830895114 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
100,2018081400204,14/08/2018 07:10:30 PM,11850 - JYOTHI RADHAKRISHNA STORE,jyothiradhakrishnastore@gmail.com,9994391109 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
101,2018081400200,14/08/2018 06:47:39 PM,33879 - BALAJI OVERSEAS,balajioverseas.karur@gmail.com,9443342197 [ 9655570203 ], PURCHASE ORDER,10349 - HARI PRASAD V,0421-2266880,CLOSED
102,2018081400199,14/08/2018 06:33:51 PM,36900 - SPARK JEANS,rajeshbirla665@gmail.com,9818192410 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
103,2018081400198,14/08/2018 06:29:56 PM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
104,2018081400197,14/08/2018 06:29:33 PM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
105,2018081400196,14/08/2018 06:16:49 PM,36727 - KALPANA SILKS ,kalpanasilks@gmail.com,9886123943 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,CLOSED
106,2018081400195,14/08/2018 06:13:35 PM,36091 - CRAPE ESTATE,crapeestatevns@gmail.com,9336911584 [ 9506437172 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
107,2018081400194,14/08/2018 05:50:55 PM,32531 - BEST HOME COTTONS,besthomecottons@gmail.com,9443712951 [ 9840680604 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
108,2018081400193,14/08/2018 05:45:47 PM,36568 - LADLASS XLNC,naazpc@gmail.com,9037000012 [ 9496824433 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
109,2018081400191,14/08/2018 05:42:27 PM,25324 - CHINTA GANDHI BROS,mohanchinta@gmail.com,9032481654 [ 9553350399 ], PURCHASE ORDER,13794 - NANDHAKUMAR S,-,CLOSED
110,2018081400190,14/08/2018 05:41:34 PM,30326 - SRI MURUGAN SILK HOUSE,srimurugansilkhouse@gmail.com,9751442541 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
111,2018081400186,14/08/2018 05:21:49 PM,18730 - MAHAVEERA TEXTILES,gardentextile@gmail.com,9444945406 [ 9841097156 ], PURCHASE ORDER,13794 - NANDHAKUMAR S,-,CLOSED
112,2018081400185,14/08/2018 05:15:49 PM,35166 - SKN GARMENTS,skngarments1@gmail.com,9942836595 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
113,2018081400173,14/08/2018 04:36:07 PM,36356 - S.N.K.SILKS & TRADERS,snksilksandtraders1@gmail.com,9626770987 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
114,2018081400172,14/08/2018 04:35:32 PM,36778 - IMRAN JEANS,imranalwi565656@gmail.com,9213911490 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
115,2018081400170,14/08/2018 04:30:44 PM,34406 - SIVASAKTHI SAREES,sivasakthisarees@gmail.com,9942276425 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
116,2018081400168,14/08/2018 04:11:42 PM,24375 - GANPATI EXCLUSIVE DESIGNER SAREES PVT.LTD,sgf.jaipur@yahoo.co.in,9602375357 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,CLOSED
117,2018081400166,14/08/2018 04:01:58 PM,19187 - PAKSHAAL MARKETING,pakshaalmarketing@gmail.com,- [ 9448184035 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
118,2018081400165,14/08/2018 04:01:48 PM,37203 - M.D.BROTHERS,MUBASHSHIRMD7@GMAIL.COM,9648762816 [  ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,705,CLOSED
119,2018081400163,14/08/2018 04:01:17 PM,36669 - JAYALAKSHMI FABRICS,jayalakshmifabrics2012@gmail.com,9840423851 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
120,2018081400159,14/08/2018 03:46:07 PM,35465 - KARMA TRADING,karmabridaiform@gmail.com,9321612288 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
121,2018081400158,14/08/2018 03:39:30 PM,7130 - SHREE SHANKAR SAREES,shankarsarees@gmail.com,9820029820 [ 9820129187 ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
122,2018081400157,14/08/2018 03:34:43 PM,21332 - S.N.S.GARMENTS,nareshsarbalia@ymail.com,9410041226 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
123,2018081400156,14/08/2018 03:33:05 PM,36326 - NEEV GARMENTS,neevgarments9@gmail.com,9130062700 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
124,2018081400154,14/08/2018 03:16:25 PM,31272 - GRACE HANDLOOM,islamulgrace@gmail.com,7668880404 [ - ], PURCHASE ORDER,5557 - BABU R ,-,CLOSED
125,2018081400152,14/08/2018 03:11:34 PM,27493 - SHIFA ENTERPRISES,optiontrousers@gmail.com,9820504583 [  ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
126,2018081400151,14/08/2018 02:56:02 PM,32555 - NIMA MERCHANDISING SERVICES,info@vashnima.com,9043228899 [ - ], PURCHASE ORDER,1711 - JENIT RAJA V,-,CLOSED
127,2018081400150,14/08/2018 02:49:32 PM,35166 - SKN GARMENTS,skngarments1@gmail.com,9942836595 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
128,2018081400149,14/08/2018 02:47:09 PM,35166 - SKN GARMENTS,skngarments1@gmail.com,9942836595 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
129,2018081400148,14/08/2018 02:33:43 PM,25591 - ARIHANT SHIRTS,arihantparkline@gmail.com,7358562555 [  ], PURCHASE ORDER,5902 - VENKATASALAPATHY C ,710,CLOSED
130,2018081400147,14/08/2018 02:28:43 PM,35831 - SHAN PLUS,dil@shandar.in,9699955568 [  ], PURCHASE ORDER,1452 - RAMASAMY V,705,CLOSED
131,2018081400146,14/08/2018 02:20:42 PM,36806 - V.R CREATION,vimalrathod481@gmail.com,9892886621 [ 7977372552 ], PURCHASE ORDER,3756 - SRI SANJAY DAS,-,CLOSED
132,2018081400145,14/08/2018 02:19:48 PM,36256 - SAI VIMALA SILKS,jakkabhargava99@gmail.com,9492584063 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
133,2018081400144,14/08/2018 02:19:12 PM,7871 - EMMEF TEX,riazesf@gmail.com,9443036313 [ 7867004077 ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
134,2018081400137,14/08/2018 02:11:02 PM,20430 - ABU GARMENTS,abugarments@gmail.com,7698051443 [ 7010455478 ], PURCHASE ORDER,5902 - VENKATASALAPATHY C ,710,CLOSED
135,2018081400135,14/08/2018 02:05:42 PM,33944 - THENMOZHI FABRICS,thenmozhifabrics@gmail.com,9487537316 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
136,2018081400134,14/08/2018 02:04:43 PM,35715 - MUKUL COLLECTION,fiscaljeans@gmail.com,9711108855 [ - ], PURCHASE ORDER,13708 - VEERAKUMAR P,-,CLOSED
137,2018081400121,14/08/2018 01:55:19 PM,33944 - THENMOZHI FABRICS,thenmozhifabrics@gmail.com,9487537316 [ - ], PURCHASE ORDER,1452 - RAMASAMY V,-,CLOSED
138,2018081400115,14/08/2018 01:49:26 PM,35166 - SKN GARMENTS,skngarments1@gmail.com,9942836595 [ - ], PURCHASE ORDER,2812 - ABDUL JAFFAR J ,-,CLOSED
